threads, 32
j, 1 t3-t2-t2-t1, -1.8000000000000002e-07
j, 2 k, 1 , tkt1[j-1][k-1], 1.2e-07
j, 2 k, 1 , tkt2[j-1][k-1], 1.3e-07
j, 2 t3-t2-t2-t1, 4.1099999999999996e-05
j, 3 k, 1 , tkt1[j-1][k-1], 1.4e-07
j, 3 k, 2 , tkt1[j-1][k-1], 2.6e-07
j, 3 k, 1 , tkt2[j-1][k-1], 1.1e-07
j, 3 k, 2 , tkt2[j-1][k-1], 0.00010337
j, 3 t3-t2-t2-t1, 0.00014298000000000002
j, 4 k, 1 , tkt1[j-1][k-1], 1.4e-07
j, 4 k, 2 , tkt1[j-1][k-1], 2.5e-07
j, 4 k, 3 , tkt1[j-1][k-1], 3.6e-07
j, 4 k, 1 , tkt2[j-1][k-1], 1.1e-07
j, 4 k, 2 , tkt2[j-1][k-1], 0.00010325
j, 4 k, 3 , tkt2[j-1][k-1], 0.00015273
j, 4 t3-t2-t2-t1, 0.00019771
j, 5 k, 1 , tkt1[j-1][k-1], 1.6e-07
j, 5 k, 2 , tkt1[j-1][k-1], 3.6e-07
j, 5 k, 3 , tkt1[j-1][k-1], 5e-07
j, 5 k, 4 , tkt1[j-1][k-1], 6.3e-07
j, 5 k, 1 , tkt2[j-1][k-1], 1.7e-07
j, 5 k, 2 , tkt2[j-1][k-1], 2.879e-05
j, 5 k, 3 , tkt2[j-1][k-1], 0.00011078
j, 5 k, 4 , tkt2[j-1][k-1], 0.00016245
j, 5 t3-t2-t2-t1, 0.00020318
j, 6 k, 1 , tkt1[j-1][k-1], 2e-07
j, 6 k, 2 , tkt1[j-1][k-1], 3.1e-07
j, 6 k, 3 , tkt1[j-1][k-1], 4.2e-07
j, 6 k, 4 , tkt1[j-1][k-1], 5.2e-07
j, 6 k, 5 , tkt1[j-1][k-1], 6.3e-07
j, 6 k, 1 , tkt2[j-1][k-1], 1.3e-07
j, 6 k, 2 , tkt2[j-1][k-1], 4.81e-05
j, 6 k, 3 , tkt2[j-1][k-1], 0.00012115
j, 6 k, 4 , tkt2[j-1][k-1], 0.000166631
j, 6 k, 5 , tkt2[j-1][k-1], 0.000206221
j, 6 t3-t2-t2-t1, 0.000255231
j, 7 k, 1 , tkt1[j-1][k-1], 1.3e-07
j, 7 k, 2 , tkt1[j-1][k-1], 2.5e-07
j, 7 k, 3 , tkt1[j-1][k-1], 3.8e-07
j, 7 k, 4 , tkt1[j-1][k-1], 5e-07
j, 7 k, 5 , tkt1[j-1][k-1], 6e-07
j, 7 k, 6 , tkt1[j-1][k-1], 7.1e-07
j, 7 k, 1 , tkt2[j-1][k-1], 1.1e-07
j, 7 k, 2 , tkt2[j-1][k-1], 5.036e-05
j, 7 k, 3 , tkt2[j-1][k-1], 9.248e-05
j, 7 k, 4 , tkt2[j-1][k-1], 0.00016466
j, 7 k, 5 , tkt2[j-1][k-1], 0.00022457
j, 7 k, 6 , tkt2[j-1][k-1], 0.00028589
j, 7 t3-t2-t2-t1, 0.00032556
j, 8 k, 1 , tkt1[j-1][k-1], 2.1e-07
j, 8 k, 2 , tkt1[j-1][k-1], 3.9e-07
j, 8 k, 3 , tkt1[j-1][k-1], 5.4e-07
j, 8 k, 4 , tkt1[j-1][k-1], 6.7e-07
j, 8 k, 5 , tkt1[j-1][k-1], 8.2e-07
j, 8 k, 6 , tkt1[j-1][k-1], 9.6e-07
j, 8 k, 7 , tkt1[j-1][k-1], 1.09e-06
j, 8 k, 1 , tkt2[j-1][k-1], 1.5e-07
j, 8 k, 2 , tkt2[j-1][k-1], 4.265e-05
j, 8 k, 3 , tkt2[j-1][k-1], 9.91e-05
j, 8 k, 4 , tkt2[j-1][k-1], 0.00017149
j, 8 k, 5 , tkt2[j-1][k-1], 0.00023706
j, 8 k, 6 , tkt2[j-1][k-1], 0.00027152
j, 8 k, 7 , tkt2[j-1][k-1], 0.00031901
j, 8 t3-t2-t2-t1, 0.00036771
j, 9 k, 1 , tkt1[j-1][k-1], 1.5e-07
j, 9 k, 2 , tkt1[j-1][k-1], 2.6e-07
j, 9 k, 3 , tkt1[j-1][k-1], 3.8e-07
j, 9 k, 4 , tkt1[j-1][k-1], 4.8e-07
j, 9 k, 5 , tkt1[j-1][k-1], 5.9e-07
j, 9 k, 6 , tkt1[j-1][k-1], 6.9e-07
j, 9 k, 7 , tkt1[j-1][k-1], 8e-07
j, 9 k, 8 , tkt1[j-1][k-1], 9e-07
j, 9 k, 1 , tkt2[j-1][k-1], 1.2e-07
j, 9 k, 2 , tkt2[j-1][k-1], 9.385e-05
j, 9 k, 3 , tkt2[j-1][k-1], 0.00017861
j, 9 k, 4 , tkt2[j-1][k-1], 0.00027655
j, 9 k, 5 , tkt2[j-1][k-1], 0.00038159
j, 9 k, 6 , tkt2[j-1][k-1], 0.00057
j, 9 k, 7 , tkt2[j-1][k-1], 0.00073857
j, 9 k, 8 , tkt2[j-1][k-1], 0.001089071
j, 9 t3-t2-t2-t1, 0.001278251
j, 10 k, 1 , tkt1[j-1][k-1], 1.8e-07
j, 10 k, 2 , tkt1[j-1][k-1], 3.3e-07
j, 10 k, 3 , tkt1[j-1][k-1], 4.7e-07
j, 10 k, 4 , tkt1[j-1][k-1], 6e-07
j, 10 k, 5 , tkt1[j-1][k-1], 7.3e-07
j, 10 k, 6 , tkt1[j-1][k-1], 8.7e-07
j, 10 k, 7 , tkt1[j-1][k-1], 1e-06
j, 10 k, 8 , tkt1[j-1][k-1], 1.12e-06
j, 10 k, 9 , tkt1[j-1][k-1], 1.25e-06
j, 10 k, 1 , tkt2[j-1][k-1], 1.4e-07
j, 10 k, 2 , tkt2[j-1][k-1], 7.358e-05
j, 10 k, 3 , tkt2[j-1][k-1], 0.00011992
j, 10 k, 4 , tkt2[j-1][k-1], 0.0002069
j, 10 k, 5 , tkt2[j-1][k-1], 0.0003449
j, 10 k, 6 , tkt2[j-1][k-1], 0.00065618
j, 10 k, 7 , tkt2[j-1][k-1], 0.00085568
j, 10 k, 8 , tkt2[j-1][k-1], 0.00097215
j, 10 k, 9 , tkt2[j-1][k-1], 0.001382201
j, 10 t3-t2-t2-t1, 0.001571771
